"Name","Damage1","Damage2","Damage3","Damage4","Damage5","Damage6","Damage7","Damage8","Damage9","Damage10","Damage11","Damage12","Damage13","Damage14","Damage15","Damage16","Damage17"
"274","Nuzleaf","1","2","0.5","0.5","0.5","2","2","2","0.5","2","0","4","1","0.5","1","0.5","1"
"275","Shiftry","1","2","0.5","0.5","0.5","2","2","2","0.5","2","0","4","1","0.5","1","0.5","1"
"276","Taillow","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"277","Swellow","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"278","Wingull","1","0.5","0.5","4","1","1","0.5","1","0","1","1","0.5","2","1","1","1","0.5"
"279","Pelipper","1","0.5","0.5","4","1","1","0.5","1","0","1","1","0.5","2","1","1","1","0.5"
"280","Ralts","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"281","Kirlia","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"282","Gardevoir","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"283","Surskit","1","1","0.5","2","1","0.5","0.5","1","0.5","2","1","1","2","1","1","1","0.5"
"284","Masquerain","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"285","Shroomish","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"286","Breloom","1","2","0.5","0.5","0.5","2","1","2","0.5","4","2","1","0.5","1","1","0.5","1"
"287","Slakoth","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"288","Vigoroth","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"289","Slaking","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"290","Nincada","1","2","2","0","1","2","0.5","0.5","0.5","2","1","1","1","1","1","1","1"
"291","Ninjask","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"292","Shedinja","0","2","1","1","0.5","1","0","0.5","0.5","2","1","0.5","2","2","1","2","1"
"293","Whismur","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"294","Loudred","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"295","Exploud","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"296","Makuhita","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"297","Hariyama","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"298","Azurill","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"299","Nosepass","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"300","Skitty","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"301","Delcatty","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"302","Sableye","0","1","1","1","1","1","0","0.5","1","1","0","1","1","1","1","1","1"
"303","Mawile","0.5","2","1","1","0.5","0.5","2","0","2","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"304","Aron","0.25","1","2","1","1","0.5","4","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","1"
"305","Lairon","0.25","1","2","1","1","0.5","4","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","1"
"306","Aggron","0.25","1","2","1","1","0.5","4","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","1"
"307","Meditite","1","1","1","1","1","1","0.5","1","1","2","1","1","0.5","2","1","1","1"
"308","Medicham","1","1","1","1","1","1","0.5","1","1","2","1","1","0.5","2","1","1","1"
"309","Electrike","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"310","Manectric","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"311","Plusle","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"312","Minun","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"313","Volbeat","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"314","Illumise","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"315","Roselia","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"316","Gulpin","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"317","Swalot","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"318","Carvanha","1","0.5","0.5","2","2","0.5","2","1","1","1","0","2","1","0.5","1","0.5","0.5"
"319","Sharpedo","1","0.5","0.5","2","2","0.5","2","1","1","1","0","2","1","0.5","1","0.5","0.5"
"320","Wailmer","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"321","Wailord","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"322","Numel","1","0.5","4","0","1","1","1","0.5","2","1","1","0.5","1","1","1","1","0.5"
"323","Camerupt","1","0.5","4","0","1","1","1","0.5","2","1","1","0.5","1","1","1","1","0.5"
"324","Torkoal","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"325","Spoink","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"326","Grumpig","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"327","Spinda","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"328","Trapinch","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"329","Vibrava","1","0.5","1","0","1","4","1","0.5","1","1","1","1","0.5","1","2","1","1"
"330","Flygon","1","0.5","1","0","1","4","1","0.5","1","1","1","1","0.5","1","2","1","1"
"331","Cacnea","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"332","Cacturne","1","2","0.5","0.5","0.5","2","2","2","0.5","2","0","4","1","0.5","1","0.5","1"
"333","Swablu","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"334","Altaria","1","0.5","0.5","1","0.25","4","0.5","1","0","1","1","0.5","2","1","2","1","1"
"335","Zangoose","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"336","Seviper","1","1","1","1","0.5","1","0.5","0.5","2","1","2","0.5","1","1","1","1","1"
"337","Lunatone","0.5","0.5","2","1","2","1","1","0.5","2","0.5","0.5","2","1","2","1","2","2"
"338","Solrock","0.5","0.5","2","1","2","1","1","0.5","2","0.5","0.5","2","1","2","1","2","2"
"339","Barboach","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"340","Whiscash","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"341","Corphish","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"342","Crawdaunt","1","0.5","0.5","2","2","0.5","2","1","1","1","0","2","1","0.5","1","0.5","0.5"
"343","Baltoy","1","1","2","0","2","2","0.5","0.5","1","1","0.5","2","0.5","2","1","2","1"
"344","Claydol","1","1","2","0","2","2","0.5","0.5","1","1","0.5","2","0.5","2","1","2","1"
"345","Lileep","0.5","1","1","0.5","1","2","2","1","1","1","1","2","1","1","1","1","2"
"346","Cradily","0.5","1","1","0.5","1","2","2","1","1","1","1","2","1","1","1","1","2"
"347","Anorith","0.5","1","2","1","1","1","1","0.5","1","1","1","1","2","1","1","1","2"
"348","Armaldo","0.5","1","2","1","1","1","1","0.5","1","1","1","1","2","1","1","1","2"
"349","Feebas","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"350","Milotic","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"351","Castform","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"352","Kecleon","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"353","Shuppet","0","1","1","1","1","1","0","0.5","1","1","1","0.5","1","2","1","2","1"
"354","Banette","0","1","1","1","1","1","0","0.5","1","1","1","0.5","1","2","1","2","1"
"355","Duskull","0","1","1","1","1","1","0","0.5","1","1","1","0.5","1","2","1","2","1"
"356","Dusclops","0","1","1","1","1","1","0","0.5","1","1","1","0.5","1","2","1","2","1"
"357","Tropius","1","2","0.5","1","0.25","4","0.5","2","0","2","1","1","2","1","1","1","1"
"358","Chimecho","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"359","Absol","1","1","1","1","1","1","2","1","1","1","0","2","1","0.5","1","0.5","1"
"360","Wynaut","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"361","Snorunt","1","2","1","1","1","0.5","2","1","1","1","1","1","2","1","1","1","2"
"362","Glalie","1","2","1","1","1","0.5","2","1","1","1","1","1","2","1","1","1","2"
"363","Spheal","1","1","0.5","2","2","0.25","2","1","1","1","1","1","2","1","1","1","1"
"364","Sealeo","1","1","0.5","2","2","0.25","2","1","1","1","1","1","2","1","1","1","1"
"365","Walrein","1","1","0.5","2","2","0.25","2","1","1","1","1","1","2","1","1","1","1"
"366","Clamperl","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"367","Huntail","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"368","Gorebyss","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"369","Relicanth","0.5","0.25","1","2","4","0.5","2","0.5","2","0.5","1","1","1","1","1","1","1"
"370","Luvdisc","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"371","Bagon","1","0.5","0.5","0.5","0.5","2","1","1","1","1","1","1","1","1","2","1","1"
"372","Shelgon","1","0.5","0.5","0.5","0.5","2","1","1","1","1","1","1","1","1","2","1","1"
"373","Salamence","1","0.5","0.5","1","0.25","4","0.5","1","0","1","1","0.5","2","1","2","1","1"
"374","Beldum","0.5","2","1","1","0.5","0.5","1","0","2","0.5","0.25","1","0.5","1","0.5","1","0.5"
"375","Metang","0.5","2","1","1","0.5","0.5","1","0","2","0.5","0.25","1","0.5","1","0.5","1","0.5"
"376","Metagross","0.5","2","1","1","0.5","0.5","1","0","2","0.5","0.25","1","0.5","1","0.5","1","0.5"
"377","Regirock","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"378","Regice","1","2","1","1","1","0.5","2","1","1","1","1","1","2","1","1","1","2"
"379","Registeel","0.5","2","1","1","0.5","0.5","2","0","2","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"380","Latias","1","0.5","0.5","0.5","0.5","2","0.5","1","1","1","0.5","2","1","2","2","2","1"
"381","Latios","1","0.5","0.5","0.5","0.5","2","0.5","1","1","1","0.5","2","1","2","2","2","1"
"382","Kyogre","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"383","Groudon","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"384","Rayquaza","1","0.5","0.5","1","0.25","4","0.5","1","0","1","1","0.5","2","1","2","1","1"
"385","Jirachi","0.5","2","1","1","0.5","0.5","1","0","2","0.5","0.25","1","0.5","1","0.5","1","0.5"
"386","Deoxys","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"387","Turtwig","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"388","Grotle","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"389","Torterra","1","2","1","0","1","4","1","1","0.5","2","1","2","0.5","1","1","1","1"
"390","Chimchar","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"391","Monferno","1","0.5","2","1","0.5","0.5","1","1","2","2","2","0.25","1","1","1","0.5","0.5"
"392","Infernape","1","0.5","2","1","0.5","0.5","1","1","2","2","2","0.25","1","1","1","0.5","0.5"
"393","Piplup","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"394","Prinplup","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"395","Empoleon","0.5","1","0.5","2","1","0.25","2","0","2","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.25"
"396","Starly","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"397","Staravia","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"398","Staraptor","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"399","Bidoof","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"400","Bibarel","1","0.5","0.5","2","2","0.5","2","1","1","1","1","1","1","0","1","1","0.5"
"401","Kricketot","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"402","Kricketune","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"403","Shinx","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"404","Luxio","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"405","Luxray","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"406","Budew","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"407","Roserade","1","2","0.5","0.5","0.25","2","0.5","1","1","2","2","1","1","1","1","1","1"
"408","Cranidos","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"409","Rampardos","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"410","Shieldon","0.25","1","2","1","1","0.5","4","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","1"
"411","Bastiodon","0.25","1","2","1","1","0.5","4","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","1"
"412","Burmy","1","2","1","1","0.5","1","0.5","1","0.5","2","1","1","2","1","1","1","1"
"413","Wormadam","1","4","0.5","0.5","0.25","2","0.5","2","0.25","4","1","2","2","1","1","1","1"
"414","Mothim","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"415","Combee","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"416","Vespiquen","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"417","Pachirisu","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"418","Buizel","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"419","Floatzel","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"420","Cherubi","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"421","Cherrim","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"422","Shellos","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"423","Gastrodon","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"424","Ambipom","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"425","Drifloon","0","1","1","2","0.5","2","0","0.5","0","1","1","0.25","2","2","1","2","1"
"426","Drifblim","0","1","1","2","0.5","2","0","0.5","0","1","1","0.25","2","2","1","2","1"
"427","Buneary","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"428","Lopunny","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"429","Mismagius","0","1","1","1","1","1","0","0.5","1","1","1","0.5","1","2","1","2","1"
"430","Honchkrow","1","1","1","2","0.5","2","1","1","0","1","0","1","2","0.5","1","0.5","1"
"431","Glameow","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"432","Purugly","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"433","Chingling","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"434","Stunky","1","1","1","1","0.5","1","1","0.5","2","1","0","1","1","0.5","1","0.5","1"
"435","Skuntank","1","1","1","1","0.5","1","1","0.5","2","1","0","1","1","0.5","1","0.5","1"
"436","Bronzor","0.5","2","1","1","0.5","0.5","1","0","2","0.5","0.25","1","0.5","1","0.5","1","0.5"
"437","Bronzong","0.5","2","1","1","0.5","0.5","1","0","2","0.5","0.25","1","0.5","1","0.5","1","0.5"
"438","Bonsly","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"439","Mime Jr.","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"440","Happiny","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"441","Chatot","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"442","Spiritomb","0","1","1","1","1","1","0","0.5","1","1","0","1","1","1","1","1","1"
"443","Gible","1","0.5","1","0","1","4","1","0.5","1","1","1","1","0.5","1","2","1","1"
"444","Gabite","1","0.5","1","0","1","4","1","0.5","1","1","1","1","0.5","1","2","1","1"
"445","Garchomp","1","0.5","1","0","1","4","1","0.5","1","1","1","1","0.5","1","2","1","1"
"446","Munchlax","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"447","Riolu","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"448","Lucario","0.5","2","1","1","0.5","0.5","2","0","2","1","1","0.25","0.25","0.5","0.5","0.25","0.5"
"449","Hippopotas","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"450","Hippowdon","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"451","Skorupi","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"452","Drapion","1","1","1","1","0.5","1","1","0.5","2","1","0","1","1","0.5","1","0.5","1"
"453","Croagunk","1","1","1","1","0.5","1","0.5","0.5","2","2","4","0.25","0.5","1","1","0.5","1"
"454","Toxicroak","1","1","1","1","0.5","1","0.5","0.5","2","2","4","0.25","0.5","1","1","0.5","1"
"455","Carnivine","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"456","Finneon","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"457","Lumineon","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"458","Mantyke","1","0.5","0.5","4","1","1","0.5","1","0","1","1","0.5","2","1","1","1","0.5"
"459","Snover","1","4","0.5","0.5","0.5","1","2","2","0.5","2","1","2","2","1","1","1","2"
"460","Abomasnow","1","4","0.5","0.5","0.5","1","2","2","0.5","2","1","2","2","1","1","1","2"
"461","Weavile","1","2","1","1","1","0.5","4","1","1","1","0","2","2","0.5","1","0.5","2"
"462","Magnezone","0.5","2","1","0.5","0.5","0.5","2","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","0.25"
"463","Lickilicky","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"464","Rhyperior","0.5","0.5","4","0","4","2","2","0.25","2","0.5","1","1","0.5","1","1","1","2"
"465","Tangrowth","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"466","Electivire","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"467","Magmortar","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"468","Togekiss","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"469","Yanmega","1","2","1","2","0.25","2","0.25","1","0","2","1","0.5","4","1","1","1","1"
"470","Leafeon","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"471","Glaceon","1","2","1","1","1","0.5","2","1","1","1","1","1","2","1","1","1","2"
"472","Gliscor","1","1","2","0","1","4","0.5","0.5","0","1","1","0.5","1","1","1","1","1"
"473","Mamoswine","1","2","2","0","2","1","2","0.5","1","1","1","1","1","1","1","1","2"
"474","Porygon-Z","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"475","Gallade","1","1","1","1","1","1","0.5","1","1","2","1","1","0.5","2","1","1","1"
"476","Probopass","0.25","1","2","1","1","0.5","4","0","4","0.25","0.5","0.5","0.5","0.5","0.5","0.5","1"
"477","Dusknoir","0","1","1","1","1","1","0","0.5","1","1","1","0.5","1","2","1","2","1"
"478","Froslass","0","2","1","1","1","0.5","0","0.5","1","1","1","0.5","2","2","1","2","2"
"479","Rotom","0","1","1","0.5","1","1","0","0.5","2","0.5","1","0.5","1","2","1","2","0.5"
"480","Uxie","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"481","Mesprit","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"482","Azelf","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"483","Dialga","0.5","1","0.5","0.5","0.25","1","2","0","2","0.5","0.5","0.5","0.5","0.5","1","0.5","0.5"
"484","Palkia","1","0.25","0.25","1","1","1","1","1","1","1","1","1","1","1","2","1","0.5"
"485","Heatran","0.5","1","2","1","0.25","0.25","2","0","4","0.5","0.5","0.25","1","0.5","0.5","0.5","0.25"
"486","Regigigas","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"487","Giratina","0","0.5","0.5","0.5","0.5","2","0","0.5","1","1","1","0.5","1","2","2","2","1"
"488","Cresselia","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"489","Phione","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"490","Manaphy","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"491","Darkrai","1","1","1","1","1","1","2","1","1","1","0","2","1","0.5","1","0.5","1"
"492","Shaymin","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"493","Arceus","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"494","Victini","1","0.5","2","1","0.5","0.5","0.5","1","2","1","0.5","1","2","2","1","2","0.5"
"495","Snivy","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"496","Servine","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"497","Serperior","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"498","Tepig","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"499","Pignite","1","0.5","2","1","0.5","0.5","1","1","2","2","2","0.25","1","1","1","0.5","0.5"
"500","Emboar","1","0.5","2","1","0.5","0.5","1","1","2","2","2","0.25","1","1","1","0.5","0.5"
"501","Oshawott","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"502","Dewott","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"503","Samurott","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"504","Patrat","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"505","Watchog","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"506","Lillipup","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"507","Herdier","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"508","Stoutland","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"509","Purrloin","1","1","1","1","1","1","2","1","1","1","0","2","1","0.5","1","0.5","1"
"510","Liepard","1","1","1","1","1","1","2","1","1","1","0","2","1","0.5","1","0.5","1"
"511","Pansage","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"512","Simisage","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"513","Pansear","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"514","Simisear","1","0.5","2","1","0.5","0.5","1","1","2","1","1","0.5","2","1","1","1","0.5"
"515","Panpour","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"516","Simipour","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"517","Munna","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"518","Musharna","1","1","1","1","1","1","0.5","1","1","1","0.5","2","1","2","1","2","1"
"519","Pidove","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"520","Tranquill","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"521","Unfezant","1","1","1","2","0.5","2","1","1","0","1","1","0.5","2","0","1","1","1"
"522","Blitzle","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"523","Zebstrika","1","1","1","0.5","1","1","1","1","2","0.5","1","1","1","1","1","1","0.5"
"524","Roggenrola","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"525","Boldore","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"526","Gigalith","0.5","0.5","2","1","2","1","2","0.5","2","0.5","1","1","1","1","1","1","2"
"527","Woobat","1","1","1","2","0.5","2","0.25","1","0","1","0.5","1","2","2","1","2","1"
"528","Swoobat","1","1","1","2","0.5","2","0.25","1","0","1","0.5","1","2","2","1","2","1"
"529","Drilbur","1","1","2","0","2","2","1","0.5","1","1","1","1","0.5","1","1","1","1"
"530","Excadrill","0.5","2","2","0","1","1","2","0","2","0.5","0.5","0.5","0.25","0.5","0.5","0.5","0.5"
"531","Audino","1","1","1","1","1","1","2","1","1","1","1","1","1","0","1","1","1"
"532","Timburr","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"533","Gurdurr","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"534","Conkeldurr","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"535","Tympole","1","0.5","0.5","2","2","0.5","1","1","1","1","1","1","1","1","1","1","0.5"
"536","Palpitoad","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"537","Seismitoad","1","0.5","1","0","4","1","1","0.5","1","1","1","1","0.5","1","1","1","0.5"
"538","Throh","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"539","Sawk","1","1","1","1","1","1","1","1","1","2","2","0.5","0.5","1","1","0.5","1"
"540","Sewaddle","1","4","0.5","0.5","0.25","2","0.5","2","0.25","4","1","2","2","1","1","1","1"
"541","Swadloon","1","4","0.5","0.5","0.25","2","0.5","2","0.25","4","1","2","2","1","1","1","1"
"542","Leavanny","1","4","0.5","0.5","0.25","2","0.5","2","0.25","4","1","2","2","1","1","1","1"
"543","Venipede","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"544","Whirlipede","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"545","Scolipede","1","2","1","1","0.25","1","0.25","0.5","1","2","2","0.5","2","1","1","1","1"
"546","Cottonee","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"547","Whimsicott","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
"548","Petilil","1","2","0.5","0.5","0.5","2","1","2","0.5","2","1","2","1","1","1","1","1"
